,V1,V2,V3
421,SIRT1,ARID3A,-0.556546823672652
422,SIRT1,ARNT,0.788306290830375
423,SIRT1,E2F3,-0.532454857234747
424,SIRT1,FOXO1,0.788306290830375
425,SIRT1,GTF3A,-0.788306290830375
426,SIRT1,HCFC1,-0.584119261399707
427,SIRT1,HIF1A,-0.788306290830375
428,SIRT1,LHX8,0.788306290830375
429,SIRT1,MECP2,-0.788306290830375
430,SIRT1,MITF,0.557025314877418
431,SIRT1,NEUROG2,0.788306290830375
432,SIRT1,PARK7,-0.788306290830375
433,SIRT1,SOX6,0.788306290830375
434,SIRT1,TBPL2,-0.788306290830375
435,SIRT1,TFDP1,-0.561592580635457
436,SIRT1,TP53,0.566794762493559
437,SIRT1,ZHX2,0.562815821652993
438,SIRT1,ZNF804A,-0.536987375682233
439,TWIST2,TWIST2,1
440,TWIST2,ZFPM2,-1
441,ZFPM2,ZFPM2,1
442,BHLHE40,BHLHE40,1
443,BHLHE40,ENO1,-0.708540329219972
444,BHLHE40,AHRR,-0.674196918989832
445,BHLHE40,EBF1,-0.674196918989832
446,BHLHE40,HOXA10,-0.674196918989832
447,BHLHE40,NFKB2,-0.526539297855552
448,BHLHE40,PAX5,-0.674196918989832
449,BHLHE40,PITX3,-0.674196918989832
450,BHLHE40,TBX21,-0.674196918989832
451,BHLHE40,TEAD4,0.674196918989832
452,BHLHE40,TGFB1I1,-0.674196918989832
453,BHLHE40,ZBTB32,0.674196918989832
454,ENO1,ENO1,1
455,ARID1B,ARID1B,1
456,ARID1B,BATF,0.683081435015081
457,ARID1B,CTCFL,0.68308143501508
458,ARID1B,ETV6,-0.683081435015081
459,ARID1B,FOXI1,0.683081435015081
460,ARID1B,HOXD1,-0.68308143501508
461,ARID1B,IKZF1,-0.683081435015081
462,ARID1B,POU2F1,-0.683081435015081
463,ARID1B,PRDM1,0.683081435015081
464,ARID1B,PTF1A,-0.683081435015081
465,ARID1B,RREB1,0.68308143501508
466,ARID1B,ZBTB4,-0.68308143501508
467,ARID1B,AHRR,-0.69995239253716
468,ARID1B,EBF1,-0.69995239253716
469,ARID1B,HOXA10,-0.69995239253716
470,ARID1B,NFKB2,-0.54506770467888
471,ARID1B,PAX5,-0.69995239253716
472,ARID1B,PITX3,-0.69995239253716
473,ARID1B,TBX21,-0.69995239253716
474,ARID1B,TEAD4,0.69995239253716
475,ARID1B,TGFB1I1,-0.69995239253716
476,ARID1B,ZBTB32,0.69995239253716
477,BATF,BATF,1
478,BATF,BHLHE41,0.631566962113972
479,BATF,CTCFL,1
480,BATF,ETV6,-1
481,BATF,FOXI1,1
482,BATF,HDAC7,-0.553706303870582
483,BATF,HOXD1,-1
484,BATF,IKZF1,-1
485,BATF,KLF1,-0.666013486245153
486,BATF,MBD1,0.551830845671041
487,BATF,POU2F1,-1
488,BATF,PRDM1,1
489,BATF,PTF1A,-1
490,BATF,RREB1,1
491,BATF,ZBTB4,-1
492,BHLHE41,BHLHE41,1
493,BHLHE41,CTCFL,0.631566962113972
494,BHLHE41,ETV6,-0.631566962113973
495,BHLHE41,FOXI1,0.631566962113972
496,BHLHE41,HOXD1,-0.631566962113972
497,BHLHE41,IKZF1,-0.631566962113972
498,BHLHE41,POU2F1,-0.631566962113972
499,BHLHE41,PRDM1,0.631566962113972
500,BHLHE41,PTF1A,-0.631566962113972
501,BHLHE41,RREB1,0.631566962113972
502,BHLHE41,ZBTB4,-0.631566962113973
503,BHLHE41,FHL2,0.535203962485303
504,BHLHE41,FOXH1,0.535203962485303
505,BHLHE41,HEY2,0.535203962485303
506,BHLHE41,KLF3,0.535203962485303
507,BHLHE41,MEIS2,-0.535203962485303
508,BHLHE41,MXI1,0.535203962485303
509,BHLHE41,NUPR1,-0.535203962485303
510,BHLHE41,RELB,-0.535203962485303
511,BHLHE41,SALL3,-0.535203962485303
512,BHLHE41,SMAD2,0.535203962485303
513,BHLHE41,TBX1,0.535203962485303
514,CTCFL,CTCFL,1
515,CTCFL,ETV6,-1
516,CTCFL,FOXI1,1
517,CTCFL,HDAC7,-0.553706303870582
518,CTCFL,HOXD1,-1
519,CTCFL,IKZF1,-1
520,CTCFL,KLF1,-0.666013486245153
521,CTCFL,MBD1,0.551830845671041
522,CTCFL,POU2F1,-1
523,CTCFL,PRDM1,1
524,CTCFL,PTF1A,-1
525,CTCFL,RREB1,1
526,CTCFL,ZBTB4,-1
527,ETV6,ETV6,1
528,ETV6,FOXI1,-1
529,ETV6,HDAC7,0.553706303870582
530,ETV6,HOXD1,1
531,ETV6,IKZF1,1
532,ETV6,KLF1,0.666013486245153
533,ETV6,MBD1,-0.551830845671041
534,ETV6,POU2F1,1
535,ETV6,PRDM1,-1
536,ETV6,PTF1A,1
537,ETV6,RREB1,-1
538,ETV6,ZBTB4,1
539,FOXI1,FOXI1,1
540,FOXI1,HDAC7,-0.553706303870582
541,FOXI1,HOXD1,-1
542,FOXI1,IKZF1,-1
543,FOXI1,KLF1,-0.666013486245153
544,FOXI1,MBD1,0.551830845671041
545,FOXI1,POU2F1,-1
546,FOXI1,PRDM1,1
547,FOXI1,PTF1A,-1
548,FOXI1,RREB1,1
549,FOXI1,ZBTB4,-1
550,HDAC7,HDAC7,1
551,HDAC7,HOXD1,0.553706303870582
552,HDAC7,IKZF1,0.553706303870582
553,HDAC7,POU2F1,0.553706303870582
554,HDAC7,PRDM1,-0.553706303870582
555,HDAC7,PTF1A,0.553706303870582
556,HDAC7,RREB1,-0.553706303870582
557,HDAC7,ZBTB4,0.553706303870582
558,HDAC7,ASCL2,-0.589917176191183
559,HDAC7,ATF5,-0.589917176191183
560,HDAC7,E2F7,-0.589917176191183
561,HDAC7,GATA1,0.589917176191183
562,HDAC7,NFKB,-0.589917176191183
563,HDAC7,ZBTB33,0.589917176191183
564,HDAC7,ZNF384,-0.589917176191183
565,HDAC7,ARNT,-0.610868254498313
566,HDAC7,FOXO1,-0.610868254498313
567,HDAC7,GTF3A,0.610868254498313
568,HDAC7,HIF1A,0.610868254498313
569,HDAC7,LHX8,-0.610868254498313
570,HDAC7,MECP2,0.610868254498313
571,HDAC7,NEUROG2,-0.610868254498312
572,HDAC7,PARK7,0.610868254498313
573,HDAC7,SOX6,-0.610868254498313
574,HDAC7,TBPL2,0.610868254498313
575,HOXD1,HOXD1,1
576,HOXD1,IKZF1,1
577,HOXD1,KLF1,0.666013486245153
578,HOXD1,MBD1,-0.551830845671041
579,HOXD1,POU2F1,1
580,HOXD1,PRDM1,-1
581,HOXD1,PTF1A,1
582,HOXD1,RREB1,-1
583,HOXD1,ZBTB4,1
584,IKZF1,IKZF1,1
585,IKZF1,KLF1,0.666013486245153
586,IKZF1,MBD1,-0.551830845671041
587,IKZF1,POU2F1,1
588,IKZF1,PRDM1,-1
589,IKZF1,PTF1A,1
590,IKZF1,RREB1,-1
591,IKZF1,ZBTB4,1
592,KLF1,KLF1,1
593,KLF1,POU2F1,0.666013486245153
594,KLF1,PRDM1,-0.666013486245153
595,KLF1,PTF1A,0.666013486245153
596,KLF1,RREB1,-0.666013486245153
597,KLF1,ZBTB4,0.666013486245153
598,KLF1,NFIA,-0.556575948729107
599,KLF1,MAX,0.529933309078498
600,KLF1,TP53,0.554779368175506
601,KLF1,NR3C1,0.537411923826573
602,KLF1,EWSR1,-0.506437629085601
603,KLF1,FHL2,0.774191427678183
604,KLF1,FOXH1,0.774191427678183
605,KLF1,FOXO4,0.55770567529701
606,KLF1,HEY2,0.774191427678183
607,KLF1,KLF3,0.774191427678183
608,KLF1,MEIS2,-0.774191427678183
609,KLF1,MXI1,0.774191427678183
610,KLF1,NUPR1,-0.774191427678183
611,KLF1,RELB,-0.774191427678183
612,KLF1,SALL3,-0.774191427678183
613,KLF1,SMAD2,0.774191427678184
614,KLF1,TBX1,0.774191427678183
615,MBD1,MBD1,1
616,MBD1,POU2F1,-0.551830845671041
617,MBD1,PRDM1,0.551830845671041
618,MBD1,PTF1A,-0.551830845671041
619,MBD1,RREB1,0.551830845671041
620,MBD1,ZBTB4,-0.551830845671041
621,MBD1,EGR4,0.545165719976628
622,MBD1,FOXF2,0.792645503905147
623,MBD1,JDP2,0.545165719976628
624,MBD1,MAFB,0.545165719976628
625,MBD1,RUNX1,0.545165719976628
626,MBD1,FOXC1,-0.55797023825467
627,MBD1,MYOD1,0.55797023825467
628,MBD1,RUNX3,0.557970238254671
629,MBD1,ZGPAT,0.557970238254671
630,POU2F1,POU2F1,1
631,POU2F1,PRDM1,-1
632,POU2F1,PTF1A,1
633,POU2F1,RREB1,-1
634,POU2F1,ZBTB4,1
635,PRDM1,PRDM1,1
636,PRDM1,PTF1A,-1
637,PRDM1,RREB1,1
638,PRDM1,ZBTB4,-1
639,PTF1A,PTF1A,1
640,PTF1A,RREB1,-1
641,PTF1A,ZBTB4,1
642,RREB1,RREB1,1
643,RREB1,ZBTB4,-1
644,ZBTB4,ZBTB4,1
645,ASCL2,ASCL2,1
646,ASCL2,ATF5,1
647,ASCL2,E2F7,1
648,ASCL2,GATA1,-1
649,ASCL2,HDGF,0.645430514962076
650,ASCL2,NFIA,0.691039235697347
651,ASCL2,NFKB,1
652,ASCL2,ZBTB33,-1
653,ASCL2,ZNF384,1
654,ATF5,ATF5,1
655,ATF5,E2F7,1
656,ATF5,GATA1,-1
657,ATF5,HDGF,0.645430514962076
658,ATF5,NFIA,0.691039235697347
659,ATF5,NFKB,1
660,ATF5,ZBTB33,-1
661,ATF5,ZNF384,1
662,E2F7,E2F7,1
663,E2F7,GATA1,-1
664,E2F7,HDGF,0.645430514962076
665,E2F7,NFIA,0.691039235697347
666,E2F7,NFKB,1
667,E2F7,ZBTB33,-1
668,E2F7,ZNF384,1
669,GATA1,GATA1,1
670,GATA1,HDGF,-0.645430514962076
671,GATA1,NFIA,-0.691039235697347
672,GATA1,NFKB,-1
673,GATA1,ZBTB33,1
674,GATA1,ZNF384,-1
675,HDGF,HDGF,1
676,HDGF,HSF4,0.657078909993398
677,HDGF,NFKB,0.645430514962076
678,HDGF,ZBTB33,-0.645430514962076
679,HDGF,ZNF384,0.645430514962076
680,HDGF,HTATIP2,-0.735034506644495
681,HDGF,KLF15,0.735034506644495
682,HDGF,KLF6,0.735034506644495
683,HDGF,MLXIP,0.735034506644495
684,HDGF,TBXT,0.735034506644495
685,HDGF,ZNF202,-0.735034506644495
686,HDGF,ZNF354C,-0.735034506644495
687,HSF4,HSF4,1
688,HSF4,ARNT,-0.559908830446209
689,HSF4,FOXO1,-0.559908830446209
690,HSF4,GTF3A,0.559908830446209
691,HSF4,HIF1A,0.559908830446209
692,HSF4,LHX8,-0.559908830446209
693,HSF4,MECP2,0.559908830446209
694,HSF4,NEUROG2,-0.559908830446209
695,HSF4,PARK7,0.559908830446209
696,HSF4,SOX6,-0.559908830446209
697,HSF4,TBPL2,0.559908830446209
698,HSF4,CREB1,-0.521532779325653
699,HSF4,DBP,-0.521532779325653
700,HSF4,NCOA2,-0.521532779325653
701,HSF4,RB1,-0.521532779325653
702,HSF4,RBPJ,-0.521532779325653
703,NFIA,NFIA,1
704,NFIA,NFKB,0.691039235697347
705,NFIA,ZBTB33,-0.691039235697347
706,NFIA,ZNF384,0.691039235697347
707,NFIA,MAX,-0.514912175333885
708,NFIA,FHL2,-0.692088549056188
709,NFIA,FOXH1,-0.692088549056188
710,NFIA,HEY2,-0.692088549056188
711,NFIA,KLF3,-0.692088549056188
712,NFIA,MEIS2,0.692088549056188
713,NFIA,MXI1,-0.692088549056188
714,NFIA,NUPR1,0.692088549056188
715,NFIA,RELB,0.692088549056188
